Gene,ExAC No. PP2>.95 Missense,ExAC No.Frameshift,ExAC No.StopGain,ExAC No.StartLost,ExAC No.SpliceSite
CDK11A,30(13)[129],12(5)[281],7(3)[17],0(0)[0],4(4)[4]
CDK18,38(21)[148],7(7)[7],6(3)[21],0(0)[0],9(2)[216]
CDKN2C,9(5)[19],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
CELA2A,32(21)[558],9(8)[11],3(2)[5],1(1)[1],7(2)[19]
CELA2B,36(14)[97],6(3)[90],4(2)[8],0(0)[0],3(3)[3]
CELA3A,35(15)[277],4(3)[12],6(4)[30],0(0)[0],6(3)[51]
CELA3B,35(23)[190],3(1)[6],3(1)[24],1(1)[1],11(6)[122]
CELF3,6(5)[7],0(0)[0],3(3)[3],0(0)[0],1(1)[1]
CELSR2,237(135)[1524],4(3)[6],9(9)[9],0(0)[0],1(1)[1]
CENPF,217(120)[1555],49(31)[94],41(25)[93],0(0)[0],11(4)[23]
CENPL,19(9)[82],0(0)[0],2(1)[3],0(0)[0],0(0)[0]
CEP104,99(54)[993],8(6)[15],12(5)[43],0(0)[0],8(7)[10]
CEP170,41(24)[739],0(0)[0],4(4)[4],0(0)[0],0(0)[0]
CEP350,193(124)[1182],9(6)[24],8(8)[8],0(0)[0],4(3)[8]
CEP85,50(21)[718],7(7)[7],6(5)[7],0(0)[0],4(4)[4]
CEPT1,13(11)[16],1(1)[1],0(0)[0],0(0)[0],1(1)[1]
CERS2,8(6)[15],1(1)[1],1(1)[1],0(0)[0],3(2)[5]
CFH,126(79)[25309],3(3)[3],4(3)[5],0(0)[0],1(1)[1]
CFHR1,25(12)[294],6(2)[31],6(2)[24],0(0)[0],2(0)[278]
CFHR2,50(32)[5540],5(1)[275],8(4)[1011],0(0)[0],4(2)[6]
