Gene,ExAC No. PP2>.95 Missense,ExAC No.Frameshift,ExAC No.StopGain,ExAC No.StartLost,ExAC No.SpliceSite
TP53I3,28(22)[42],4(1)[23],8(3)[285],1(0)[2],4(4)[4]
TPO,97(55)[7857],10(5)[34],14(11)[27],1(1)[1],2(2)[2]
TPRKB,8(4)[15],9(6)[22],2(2)[2],1(0)[2],1(1)[1]
TRABD2A,47(24)[3969],6(4)[11],12(5)[40],0(0)[0],2(2)[2]
TRAF3IP1,35(17)[161],10(6)[73],6(4)[8],0(0)[0],5(4)[8]
TRAK2,96(61)[252],9(5)[13],14(11)[110],1(1)[1],7(6)[8]
TRAPPC12,84(37)[482],9(7)[11],9(7)[11],0(0)[0],7(5)[9]
TRIB2,9(7)[18],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
TRIM43,0(0)[0],2(1)[3],1(0)[3],0(0)[0],0(0)[0]
TRIM54,32(19)[111],7(4)[81],6(3)[18],0(0)[0],4(2)[11]
TRIP12,80(61)[129],1(1)[1],0(0)[0],0(0)[0],1(1)[1]
TRMT61B,39(23)[435],16(13)[19],7(4)[40],3(1)[21],4(1)[16]
TRPM8,135(81)[846],14(12)[29],19(12)[40],0(0)[0],10(8)[20]
TSGA10,50(28)[417],5(4)[7],7(5)[15],1(1)[1],0(0)[0]
TSN,5(3)[8],0(0)[0],4(2)[6],0(0)[0],0(0)[0]
TSPYL6,41(22)[3460],5(3)[22],1(0)[5],2(0)[342],0(0)[0]
TSSC1,20(10)[43],2(2)[2],4(2)[7],1(0)[2],0(0)[0]
TTC21B,110(65)[80249],18(12)[42],22(17)[36],0(0)[0],18(13)[26]
TTC27,82(40)[24988],3(2)[5],15(8)[31],0(0)[0],5(4)[15]
TTC30A,39(28)[17914],8(5)[19],9(7)[14],0(0)[0],0(0)[0]
TTC30B,48(27)[278],6(5)[7],6(4)[20],0(0)[0],0(0)[0]
TTC31,46(21)[278],12(9)[24],16(8)[224],1(1)[1],9(6)[12]
TTC32,15(12)[18],2(2)[2],0(0)[0],1(0)[19],2(1)[3]
TTC7A,98(49)[1141],12(10)[15],10(9)[15],1(0)[2],10(9)[11]
TTL,11(8)[16],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
TTLL4,57(37)[2763],6(5)[7],13(8)[25],1(1)[1],6(2)[46]
TTN,121(61)[2071],186(160)[259],175(137)[253],0(0)[0],125(90)[922]
TUBA3D,30(17)[132],6(3)[10],7(4)[13],1(1)[1],4(2)[9]
TUBA3E,32(14)[49813],11(6)[397],4(1)[16],0(0)[0],2(1)[3]
TUBA4A,18(15)[22],0(0)[0],4(4)[4],0(0)[0],0(0)[0]
TWIST2,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
TXNDC9,11(8)[18],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
TYW5,30(20)[65],4(4)[4],8(5)[23],1(1)[1],4(2)[12]
UBE2E3,0(0)[0],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
UBE2F,4(4)[4],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
UBR3,27(17)[51],3(3)[3],3(2)[4],0(0)[0],0(0)[0]
UBXN2A,18(10)[41],2(1)[3],5(3)[11],0(0)[0],1(1)[1]
UBXN4,17(8)[44],2(2)[2],1(1)[1],0(0)[0],2(1)[7]
UCN,15(9)[65],2(0)[5],0(0)[0],0(0)[0],0(0)[0]
UGGT1,92(60)[223],6(6)[6],10(10)[10],0(0)[0],10(9)[12]
UGP2,26(20)[42],12(9)[20],5(4)[9],1(0)[8],3(3)[3]
UGT1A1,95(54)[650],9(4)[15],6(5)[8],0(0)[0],2(2)[2]
UGT1A10,107(53)[822],10(3)[19],14(8)[126],1(1)[1],2(2)[2]
UGT1A3,98(52)[1339],18(10)[222],11(8)[16],1(1)[1],2(1)[5]
UGT1A4,100(50)[786],15(8)[51],8(5)[31],0(0)[0],2(1)[4]
UGT1A5,84(46)[773],11(5)[259],7(3)[80],0(0)[0],1(1)[1]
UGT1A6,92(50)[672],9(5)[17],7(4)[28],0(0)[0],1(1)[1]
UGT1A7,96(52)[689],15(8)[30],15(8)[79],0(0)[0],2(2)[2]
UGT1A8,95(52)[2226],9(5)[13],13(10)[23],0(0)[0],2(2)[2]
UGT1A9,103(57)[720],10(5)[28],12(9)[41],3(1)[5],2(1)[3]
UNC50,16(16)[16],11(8)[25],4(3)[6],0(0)[0],4(3)[7]
UNC80,109(88)[256],5(5)[5],7(6)[8],0(0)[0],5(4)[8]
UPP2,28(18)[167],10(5)[8626],4(2)[16],0(0)[0],2(0)[14]
USP34,110(75)[211],0(0)[0],2(2)[2],0(0)[0],6(2)[30]
USP37,19(16)[33],3(3)[3],3(3)[3],0(0)[0],2(2)[2]
USP39,23(13)[40],6(3)[7],4(3)[5],0(0)[0],3(2)[4]
USP40,111(60)[677],29(19)[157],20(13)[43],0(0)[0],8(5)[21]
UXS1,28(20)[41],3(3)[3],2(2)[2],0(0)[0],2(2)[2]
VAMP5,11(7)[22],1(0)[2],0(0)[0],0(0)[0],3(1)[57]
VAMP8,7(5)[15],2(1)[3],1(0)[2],1(1)[1],0(0)[0]
VAX2,41(21)[694],4(2)[10],1(1)[1],0(0)[0],0(0)[0]
VIL1,93(40)[465],7(5)[11],8(5)[15],0(0)[0],6(3)[22]
VIT,133(70)[11883],17(13)[34],23(17)[1027],2(1)[28],9(7)[16]
VPS54,44(31)[88],3(3)[3],5(5)[5],0(0)[0],2(2)[2]
VRK2,31(21)[100],26(19)[39],7(7)[7],0(0)[0],10(6)[17]
VSNL1,1(1)[1],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
VWA3B,136(81)[76542],23(15)[69],25(14)[4016],0(0)[0],14(10)[31]
VWC2L,9(5)[23],0(0)[0],3(1)[6],0(0)[0],1(1)[1]
WBP1,44(14)[190],5(1)[30],6(4)[8],1(1)[1],1(0)[2]
WDFY1,45(26)[251],2(1)[3],5(5)[5],0(0)[0],5(4)[7]
WDPCP,43(27)[87],11(8)[15],8(6)[11],1(1)[1],11(9)[30]
WDR12,24(16)[34],4(4)[4],2(1)[3],0(0)[0],2(2)[2]
WDR33,30(13)[9122],3(1)[7],8(7)[163],2(2)[2],1(1)[1]
WDR35,107(59)[658],9(5)[18],19(13)[40],1(1)[1],13(7)[27]
WDR43,24(14)[62],2(2)[2],0(0)[0],1(1)[1],0(0)[0]
WDR54,10(5)[19],6(3)[11],3(2)[4],0(0)[0],8(7)[9]
WDR75,50(35)[138],5(5)[5],5(3)[21],0(0)[0],2(1)[12]
WDR92,24(14)[48],4(4)[4],2(0)[4],0(0)[0],0(0)[0]
WDSUB1,61(35)[274],7(6)[11],7(3)[13],0(0)[0],4(3)[19]
WIPF1,20(11)[63],1(1)[1],1(1)[1],0(0)[0],1(1)[1]
WNT10A,65(22)[2494],5(5)[5],6(2)[98],0(0)[0],0(0)[0]
WNT6,19(15)[23],2(2)[2],1(1)[1],0(0)[0],0(0)[0]
XDH,209(107)[1085],17(10)[57],13(10)[19],1(0)[3],19(12)[81]
XIRP2,443(268)[29072],74(43)[379],67(35)[324],2(1)[197],7(4)[2305]
XPO1,14(12)[21],0(0)[0],0(0)[0],1(1)[1],0(0)[0]
XRCC5,25(14)[64],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
YIPF4,26(19)[39],1(0)[4],2(2)[2],0(0)[0],1(1)[1]
YPEL5,2(2)[2],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
YWHAQ,7(4)[11],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
ZAK,38(25)[226],5(5)[5],9(8)[25],0(0)[0],7(5)[11]
ZAP70,47(34)[78],5(5)[5],4(3)[9],0(0)[0],1(1)[1]
ZC3H15,4(4)[4],1(1)[1],1(1)[1],2(2)[2],0(0)[0]
ZC3H6,66(51)[1998],10(9)[14],2(2)[2],0(0)[0],1(1)[1]
ZC3H8,19(10)[102],6(5)[7],0(0)[0],0(0)[0],1(1)[1]
ZDBF2,104(60)[2571],21(14)[108],18(16)[20],1(1)[1],0(0)[0]
ZEB2,38(32)[54],0(0)[0],0(0)[0],1(1)[1],1(1)[1]
ZFAND2B,29(19)[54],3(1)[6],4(1)[8],0(0)[0],3(2)[5]
ZFP36L2,26(14)[8789],2(0)[4],1(1)[1],0(0)[0],0(0)[0]
ZNF142,228(133)[1022],22(19)[25],25(18)[100],1(0)[4],3(2)[4]
ZNF2,55(27)[149],3(3)[3],2(2)[2],0(0)[0],1(1)[1]
ZNF385B,38(26)[103],0(0)[0],5(3)[8],0(0)[0],2(2)[2]
ZNF512,19(14)[35],0(0)[0],2(2)[2],3(2)[4],3(3)[3]
ZNF513,40(27)[111],4(3)[5],1(1)[1],2(2)[2],0(0)[0]
ZNF514,38(21)[377],11(8)[17],10(4)[52],1(1)[1],2(2)[2]
ZNF638,198(140)[490],4(4)[4],6(5)[7],0(0)[0],2(1)[3]
ZNF804A,82(50)[3674],4(4)[4],4(3)[8],0(0)[0],0(0)[0]
ZRANB3,90(55)[442],21(13)[157],13(8)[51],1(0)[2],17(11)[1136]
ZSWIM2,39(21)[1104],11(7)[53],10(7)[15],2(1)[3],7(4)[19]
A4GNT,42(28)[111],2(1)[3],2(1)[291],0(0)[0],0(0)[0]
AADAC,36(25)[215],7(6)[10],5(2)[8],1(0)[5],2(1)[11]
AADACL2,37(24)[236],8(5)[51],12(7)[36],1(0)[2],1(1)[1]
ABCC5,77(55)[181],6(4)[626],9(8)[10],0(0)[0],2(2)[2]
ABCF3,60(40)[317],1(1)[1],9(6)[18],1(1)[1],1(0)[2]
ABHD10,24(11)[139],2(2)[2],7(4)[11],0(0)[0],0(0)[0]
ABHD14A,37(19)[336],5(5)[5],2(1)[3],0(0)[0],4(3)[5]
ABHD14B,25(11)[143],5(3)[714],4(2)[491],2(0)[5],0(0)[0]
ABHD5,25(14)[1052],7(6)[10],10(8)[14],1(1)[1],0(0)[0]
ABHD6,24(16)[39],1(1)[1],3(3)[3],0(0)[0],3(3)[3]
ABI3BP,77(38)[1695],7(5)[16],9(6)[35],1(0)[4794],10(10)[10]
ABTB1,43(25)[138],9(4)[21],8(3)[461],1(1)[1],1(1)[1]
ACAA1,52(29)[314],6(3)[24],6(3)[14],0(0)[0],5(3)[7]
ACAD11,115(72)[1750],13(10)[41],12(3)[149],1(1)[1],5(3)[7]
ACAD9,81(43)[2799],6(5)[9],3(3)[3],0(0)[0],10(9)[11]
ACAP2,29(20)[44],0(0)[0],1(1)[1],0(0)[0],3(2)[4]
ACKR2,46(24)[657],11(9)[167],5(4)[6],1(1)[1],0(0)[0]
ACKR4,3(3)[3],6(2)[27],3(1)[5],0(0)[0],0(0)[0]
ACOX2,71(39)[322],15(9)[287],9(7)[12],1(1)[1],8(6)[13]
ACPL2,46(26)[140],2(0)[5],3(3)[3],1(1)[1],0(0)[0]
ACPP,54(33)[174],4(3)[7],7(4)[15],1(1)[1],6(4)[16]
ACTL6A,15(9)[29],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
ACTR8,53(34)[125],7(5)[11],13(6)[30],0(0)[0],7(3)[12]
ACTRT3,42(24)[491],1(1)[1],4(4)[4],0(0)[0],1(1)[1]
ACVR2B,18(13)[26],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
ACY1,45(26)[665],8(5)[20],3(2)[4],0(0)[0],6(5)[24]
ADAMTS9,129(91)[643],3(2)[4],12(10)[16],0(0)[0],17(14)[27]
ADCY5,57(38)[98],3(3)[3],3(3)[3],0(0)[0],2(2)[2]
ADIPOQ,38(20)[591],4(4)[4],7(5)[12],0(0)[0],2(1)[3]
ADPRH,72(42)[330],3(2)[17],8(4)[400],0(0)[0],1(1)[1]
AGTR1,34(25)[554],6(2)[12],4(3)[5],0(0)[0],0(0)[0]
AHSG,32(15)[1206],2(2)[2],7(4)[22],1(0)[3],4(1)[16]
ALAS1,64(35)[235],4(2)[23],2(2)[2],1(1)[1],2(2)[2]
ALCAM,42(27)[242],3(3)[3],1(1)[1],3(1)[10],1(1)[1]
ALDH1L1,104(60)[472],11(7)[32],10(5)[28],2(1)[4],5(2)[228]
ALG1L,22(12)[874],4(3)[5],9(6)[17],1(0)[9],2(2)[2]
ALG3,51(34)[156],5(3)[7],6(5)[11],3(3)[3],5(4)[8]
ALS2CL,98(49)[469],16(12)[94],24(17)[220],0(0)[0],9(6)[21]
AMIGO3,52(27)[204],12(10)[15],7(4)[20],1(1)[1],0(0)[0]
AMOTL2,174(80)[3248],3(2)[4],7(7)[7],0(0)[0],1(1)[1]
AMT,41(25)[87],4(2)[10],3(2)[4],0(0)[0],5(5)[5]
ANAPC13,5(5)[5],0(0)[0],3(2)[4],1(1)[1],1(1)[1]
ANKRD28,94(60)[229],1(1)[1],2(2)[2],0(0)[0],0(0)[0]
ANO10,57(34)[2546],11(8)[21],6(5)[7],0(0)[0],6(4)[13]
AP2M1,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
APEH,43(29)[97],7(5)[11],6(5)[7],2(1)[3],3(2)[4]
APOD,17(7)[1439],5(4)[10],1(1)[1],1(0)[3],4(3)[5]
APPL1,86(56)[303],6(5)[54],4(4)[4],0(0)[0],5(4)[6]
ARF4,2(1)[3],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
ARGFX,11(5)[60],8(4)[37],5(2)[41],1(1)[1],4(1)[10]
ARHGAP31,126(75)[643],3(3)[3],3(3)[3],0(0)[0],0(0)[0]
ARHGEF26,81(56)[2560],14(12)[25],9(4)[15],1(0)[2],5(5)[5]
ARHGEF3,20(14)[75],4(3)[5],4(3)[6],1(1)[1],1(1)[1]
ARIH2,4(3)[7],2(2)[2],2(1)[3],0(0)[0],1(1)[1]
ARIH2OS,4(2)[9],4(2)[8],2(1)[1],0(0)[0],0(0)[0]
ARL13B,30(21)[96],4(3)[6],6(3)[13],2(1)[3],6(6)[6]
ARL14,33(15)[1927],6(3)[10],7(5)[11],0(0)[0],0(0)[0]
ARL6,16(11)[29],0(0)[0],3(2)[4],0(0)[0],2(2)[2]
ARL6IP5,23(16)[202],3(2)[4],0(0)[0],4(3)[5],1(1)[1]
ARL8B,2(1)[3],2(1)[3],1(1)[1],0(0)[0],1(1)[1]
ARMC8,23(16)[40],2(2)[2],1(1)[1],1(1)[1],2(2)[2]
ARPC4,65(35)[273],10(5)[30],18(6)[229],1(0)[2],3(2)[4]
ARPC4-TTLL3,60(30)[268],10(5)[30],18(6)[229],1(0)[2],3(2)[4]
ARPP21,87(46)[349],4(3)[12],6(5)[8],0(0)[0],5(4)[6]
ASB14,63(32)[368],14(9)[20],11(4)[31],0(0)[0],6(4)[9]
ASTE1,47(28)[292],18(11)[18093],18(12)[48],1(0)[6],3(3)[3]
ATG3,14(10)[20],2(0)[7],1(0)[2],1(1)[1],0(0)[0]
ATG7,52(30)[272],7(5)[9],4(3)[24],0(0)[0],7(5)[9]
ATP11B,43(25)[107],8(6)[11],6(5)[7],0(0)[0],2(2)[2]
ATP13A3,32(27)[45],4(3)[5],4(2)[6],0(0)[0],0(0)[0]
ATP13A4,107(63)[62523],10(10)[10],6(3)[10],3(2)[4],18(12)[31]
ATP13A5,135(83)[6749],29(18)[762],26(12)[2763],2(0)[15],22(14)[45]
ATP1B3,13(8)[31],2(2)[2],3(1)[7],0(0)[0],1(1)[1]
ATP2B2,29(20)[47],0(0)[0],0(0)[0],0(0)[0],2(1)[14]
ATP2C1,32(27)[48],2(1)[6],4(2)[8],1(1)[1],3(1)[5]
ATP6V1A,26(20)[50],1(1)[1],2(1)[4],0(0)[0],1(1)[1]
ATR,109(75)[406],18(13)[998],11(5)[18],0(0)[0],9(7)[61]
ATRIP,73(46)[783],6(4)[12],5(4)[6],2(2)[2],5(3)[12]
ATXN7,79(55)[18495],3(0)[45],3(1)[10],0(0)[0],2(2)[2]
AZI2,10(5)[20],5(3)[9],3(3)[3],0(0)[0],1(1)[1]
B3GALNT1,9(8)[11],2(2)[2],2(0)[18],1(0)[19],0(0)[0]
B3GNT5,27(18)[61],4(2)[9],1(1)[1],0(0)[0],0(0)[0]
B4GALT4,22(17)[47],6(5)[9],8(6)[10],1(1)[1],2(1)[3]
BAP1,47(35)[73],1(1)[1],3(2)[22],1(1)[1],2(2)[2]
BBX,62(36)[474],1(1)[1],9(6)[21],0(0)[0],1(1)[1]
BCHE,69(44)[250],17(9)[138],14(10)[27],2(2)[2],1(1)[1]
BCL6,23(13)[120],0(0)[0],2(2)[2],0(0)[0],0(0)[0]
BDH1,39(24)[218],2(0)[13],2(0)[24],0(0)[0],4(3)[11]
BFSP2,33(17)[228],5(5)[5],8(8)[8],0(0)[0],1(1)[1]
BHLHE40,27(19)[67],1(0)[3],0(0)[0],0(0)[0],1(0)[2]
BOC,94(51)[1797],7(5)[9],4(3)[5],2(1)[4],7(6)[8]
BRK1,3(1)[5],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
BRPF1,43(32)[73],0(0)[0],1(1)[1],0(0)[0],4(3)[9]
BSN,263(150)[1656],2(2)[2],3(3)[3],0(0)[0],2(2)[2]
BTD,75(42)[4436],6(6)[6],6(5)[24],3(0)[11],4(3)[7]
BTLA,11(7)[18],1(1)[1],2(2)[2],1(1)[1],0(0)[0]
C3orf14,7(7)[7],0(0)[0],7(3)[51],0(0)[0],2(1)[7]
C3orf17,46(26)[1182],15(10)[54],6(4)[29],0(0)[0],3(2)[4]
C3orf18,20(10)[63685],4(3)[5],1(1)[1],0(0)[0],3(0)[8]
C3orf20,76(35)[103393],16(11)[25],16(11)[67],1(0)[2],8(5)[80]
C3orf22,9(4)[35],2(2)[2],1(0)[3],0(0)[0],1(0)[3]
C3orf27,5(4)[7],7(3)[12526],2(1)[3],0(0)[0],0(0)[0]
C3orf30,26(15)[990],15(13)[20],8(4)[19],0(0)[0],2(2)[2]
C3orf33,11(5)[37],4(1)[7],8(6)[12],0(0)[0],2(1)[10]
C3orf35,6(2)[163],6(6)[6],3(0)[29],1(0)[2],0(0)[0]
C3orf36,10(6)[49],11(4)[60],3(2)[4],1(0)[9],0(0)[0]
C3orf38,19(14)[366],2(1)[3],5(2)[17],0(0)[0],0(0)[0]
C3orf43,16(6)[490],6(4)[10],4(2)[41],0(0)[0],2(0)[4]
C3orf52,15(7)[702],7(5)[43],11(8)[50],2(0)[14],2(1)[3]
C3orf55,9(7)[11],3(0)[10],2(1)[3],0(0)[0],0(0)[0]
C3orf56,19(9)[83],6(5)[20],8(3)[18],0(0)[0],0(0)[0]
C3orf58,24(20)[30],1(1)[1],3(3)[3],0(0)[0],0(0)[0]
C3orf62,28(21)[64],10(6)[51],3(1)[9],1(1)[1],1(0)[5]
C3orf67,69(42)[172],3(2)[6],5(3)[13],1(1)[1],7(5)[9]
C3orf70,8(3)[18],7(7)[7],4(4)[4],0(0)[0],0(0)[0]
C3orf72,4(4)[4],7(5)[2056],1(1)[1],0(0)[0],1(0)[3]
C3orf79,2(0)[4],0(0)[0],0(0)[0],1(0)[6941],1(1)[1]
C3orf80,4(1)[8],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
C3orf83,3(2)[4],0(0)[0],1(0)[2],0(0)[0],1(1)[1]
C3orf84,25(15)[240],7(4)[27],5(2)[19],0(0)[0],1(0)[5]
CACNA1D,86(61)[223],3(2)[66],2(2)[2],0(0)[0],3(3)[3]
CACNA2D2,64(43)[190],5(5)[5],4(4)[4],1(1)[1],2(2)[2]
CACNA2D3,103(66)[212],0(0)[0],3(2)[4],0(0)[0],3(3)[3]
CADM2,15(12)[21],1(1)[1],0(0)[0],1(1)[1],1(0)[2]
CADPS,142(95)[444],2(1)[3],7(7)[7],0(0)[0],10(7)[187]
CAMK1,36(22)[121],5(2)[8],6(3)[16],0(0)[0],3(2)[4]
CAMK2N2,0(0)[0],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
CAMKV,14(10)[20],0(0)[0],2(0)[35],0(0)[0],1(0)[4]
CAMP,34(19)[569],4(3)[6],1(1)[1],2(0)[375],1(1)[1]
CAND2,239(114)[2951],7(6)[11],11(8)[16],1(1)[1],9(5)[12]
CAPN7,46(34)[85],8(8)[8],7(6)[11],0(0)[0],10(9)[11]
CASR,53(35)[86],4(4)[4],3(2)[4],0(0)[0],3(2)[4]
CAV3,18(10)[1476],2(1)[5],0(0)[0],0(0)[0],1(1)[1]
CBLB,107(64)[465],3(3)[3],3(2)[5],1(1)[1],4(3)[8]
CCDC12,22(14)[42],1(0)[115],2(1)[1],1(1)[1],0(0)[0]
CCDC13,60(25)[29370],13(9)[119],10(6)[20],0(0)[0],6(3)[51]
CCDC14,81(44)[324],14(9)[24],13(6)[51],1(1)[1],2(2)[2]
CCDC174,38(18)[156],4(2)[6],9(6)[13],1(0)[6],2(2)[2]
CCDC36,27(15)[99],10(10)[10],4(3)[5],0(0)[0],2(1)[3]
CCDC37,64(32)[409],13(7)[54],10(7)[553],0(0)[0],13(8)[37]
CCDC39,77(40)[1008],19(14)[991],7(5)[19],2(1)[4],6(4)[34]
CCDC50,34(23)[168],7(6)[10],11(6)[40],1(1)[1],1(1)[1]
CCDC51,32(19)[760],8(6)[13],11(6)[24],2(2)[2],0(0)[0]
CCDC54,16(8)[236],7(5)[391],9(3)[146],0(0)[0],0(0)[0]
CCDC58,6(4)[20],4(3)[5],2(2)[2],0(0)[0],1(1)[1]
CCDC66,82(47)[50761],47(18)[14251],29(12)[838],1(0)[3],16(10)[55]
CCDC71,14(4)[50],1(1)[1],5(5)[5],0(0)[0],0(0)[0]
CCDC80,97(59)[2140],4(3)[5],7(6)[9],0(0)[0],1(0)[2]
CCK,9(4)[146],0(0)[0],2(0)[5],0(0)[0],1(0)[2]
CCNL1,6(5)[12],1(1)[1],3(2)[4],0(0)[0],2(1)[8]
CCR1,16(10)[93],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
CCR2,27(14)[127],0(0)[0],5(3)[21],0(0)[0],0(0)[0]
CCR3,44(27)[310],6(4)[8],3(1)[12],0(0)[0],1(0)[17]
CCR4,25(20)[45],4(4)[4],0(0)[0],1(1)[1],0(0)[0]
CCR5,49(25)[1890],5(2)[109],10(5)[122],0(0)[0],0(0)[0]
CCR8,34(20)[175],3(2)[4],5(5)[5],2(1)[3],0(0)[0]
CCR9,26(15)[128],3(2)[6],3(3)[3],2(1)[3],1(0)[3]
CCRL2,24(13)[1055],5(4)[6],4(1)[13],1(0)[382],0(0)[0]
CD200,19(12)[41],1(1)[1],2(0)[4],1(1)[1],1(0)[4]
CD200R1,28(8)[190],4(3)[5],8(6)[13],1(0)[4],4(4)[4]
CD200R1L,23(11)[1687],9(6)[31983],4(3)[5],3(3)[3],3(2)[5]
CD47,9(5)[27],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
CD80,23(14)[261],3(3)[3],1(1)[1],1(1)[1],1(1)[1]
CD86,18(10)[73],0(0)[0],0(0)[0],1(1)[1],0(0)[0]
CD96,41(28)[94],14(11)[95],5(2)[19],1(0)[12],8(4)[180]
CDC25A,24(17)[49],1(1)[1],0(0)[0],0(0)[0],2(2)[2]
CDCP1,51(28)[652],9(9)[9],5(5)[5],0(0)[0],2(1)[3]
CDHR4,32(15)[97],5(1)[13],6(5)[10],0(0)[0],2(0)[120]
CDV3,12(7)[19],1(0)[7],2(2)[2],0(0)[0],0(0)[0]
CELSR3,178(99)[1409],8(5)[15],12(11)[13],0(0)[0],2(1)[3]
CEP19,13(9)[21],2(1)[3],2(1)[3],1(0)[253],1(1)[1]
CEP63,86(43)[3638],17(11)[45],20(15)[48],1(1)[1],10(4)[19]
CEP70,42(28)[435],14(9)[29],9(4)[34],1(1)[1],11(7)[20]
CEP97,58(28)[536],9(5)[18],11(8)[15],0(0)[0],3(3)[3]
CGGBP1,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CHCHD4,7(3)[102],1(0)[3],2(2)[2],0(0)[0],0(0)[0]
CHCHD6,19(8)[259],3(3)[3],6(3)[9],1(0)[2],5(4)[6]
CHDH,61(22)[194],6(3)[25],5(3)[8],0(0)[0],1(1)[1]
CHL1,114(74)[1071],4(4)[4],5(4)[8],0(0)[0],12(12)[12]
CHMP2B,20(14)[35],3(3)[3],5(4)[32],0(0)[0],0(0)[0]
CHRD,83(50)[256],7(6)[8],4(4)[4],0(0)[0],9(7)[14]
CHST13,32(20)[404],2(0)[5],5(3)[16],0(0)[0],0(0)[0]
CHST2,32(24)[75],3(3)[3],3(2)[4],0(0)[0],0(0)[0]
CIDEC,24(14)[83],4(3)[18],5(3)[20],2(1)[3],2(2)[2]
CISH,26(16)[64],3(3)[3],5(4)[8],0(0)[0],1(0)[2]
CLCN2,105(58)[683],6(5)[30],10(7)[15],0(0)[0],9(8)[11]
CLDN1,26(18)[93],0(0)[0],3(3)[3],1(1)[1],0(0)[0]
CLDN11,13(9)[25],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
CLDN16,29(15)[92],4(3)[23585],4(3)[6],0(0)[0],0(0)[0]
CLDN18,26(15)[49],4(2)[9],6(6)[6],3(1)[114],1(1)[1]
CLDND1,29(14)[301],1(1)[1],2(2)[2],1(0)[2],0(0)[0]
CLEC3B,16(12)[25],0(0)[0],4(4)[4],1(0)[3],1(1)[1]
CLRN1,38(22)[127],3(1)[6],3(1)[62],1(1)[1],5(4)[6]
CLSTN2,81(41)[711],0(0)[0],7(6)[8],0(0)[0],5(5)[5]
CMC1,18(12)[96],3(2)[5],3(3)[3],0(0)[0],1(1)[1]
CMSS1,25(12)[290],4(4)[4],6(6)[6],2(1)[12],1(1)[1]
CMTM6,14(8)[1979],2(2)[2],0(0)[0],0(0)[0],0(0)[0]
CMTM7,8(4)[22],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
CMTM8,10(5)[31],3(3)[3],0(0)[0],0(0)[0],0(0)[0]
CNBP,3(3)[3],1(0)[2],0(0)[0],0(0)[0],0(0)[0]
CNOT10,33(23)[82],2(2)[2],0(0)[0],0(0)[0],3(3)[3]
CNTN3,68(42)[301],1(0)[2],8(7)[9],0(0)[0],3(3)[3]
CNTN4,96(66)[459],3(1)[8],3(3)[3],1(0)[4],4(4)[4]
CNTN6,123(72)[499],21(13)[54],20(17)[70],1(1)[1],17(9)[71]
COL6A6,303(159)[6001],39(23)[157],36(15)[307],0(0)[0],34(19)[308]
COL7A1,47(21)[808],22(17)[42],35(23)[62],0(0)[0],28(22)[91]
COL8A1,4(2)[10],5(5)[5],4(3)[5],1(1)[1],0(0)[0]
COLQ,64(32)[298],7(5)[11],9(7)[22],1(1)[1],5(4)[6]
COMMD2,15(8)[101],4(3)[6],6(4)[8],1(1)[1],3(2)[4]
COPB2,27(19)[49],2(1)[6],0(0)[0],0(0)[0],1(0)[2]
COPG1,81(45)[312],2(2)[2],4(3)[7],0(0)[0],2(2)[2]
COX17,2(1)[10],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CP,116(62)[1322],11(8)[29],7(4)[10],0(0)[0],7(4)[16]
CPA3,60(33)[1344],3(2)[5],13(6)[66],1(1)[1],6(5)[13]
CPB1,53(30)[344],7(6)[19],10(7)[54],0(0)[0],10(6)[24]
CPN2,33(22)[34710],7(5)[14],7(6)[39836],1(1)[1],0(0)[0]
CPNE4,27(20)[41],3(3)[3],2(2)[2],0(0)[0],2(2)[2]
CPNE9,40(28)[78],5(4)[6],3(3)[3],0(0)[0],8(5)[12]
CPOX,37(20)[122],1(1)[1],5(4)[6],0(0)[0],0(0)[0]
CRBN,17(16)[18],5(4)[6],4(3)[6],1(1)[1],2(2)[2]
CRELD1,52(26)[745],11(6)[53],10(5)[82],0(0)[0],6(3)[9]
CRTAP,68(40)[1248],3(2)[5],4(1)[11],0(0)[0],4(2)[15]
